"team1","team2","winner","venue"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Kolkata Knight Riders","M Chinnaswamy Stadium, Bengaluru"
"Punjab Kings","Chennai Super Kings","Chennai Super Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Delhi Capitals","Rajasthan Royals","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Wankhede Stadium, Mumbai"
"Kolkata Knight Riders","Deccan Chargers","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Rajasthan Royals","Punjab Kings","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Deccan Chargers","Delhi Capitals","Delhi Capitals","Rajiv Gandhi International Stadium, Hyderabad"
"Chennai Super Kings","Mumbai Indians","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Deccan Chargers","Rajasthan Royals","Rajasthan Royals","Rajiv Gandhi International Stadium, Hyderabad"
"Punjab Kings","Mumbai Indians","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Royal Challengers Bengaluru","Rajasthan Royals","Rajasthan Royals","M Chinnaswamy Stadium, Bengaluru"
"Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Mumbai Indians","Deccan Chargers","Deccan Chargers","Dr DY Patil Sports Academy, Mumbai"
"Punjab Kings","Delhi Capitals","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Royal Challengers Bengaluru","Chennai Super Kings","Chennai Super Kings","M Chinnaswamy Stadium, Bengaluru"
"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","Eden Gardens, Kolkata"
"Delhi Capitals","Royal Challengers Bengaluru","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Deccan Chargers","Punjab Kings","Punjab Kings","Rajiv Gandhi International Stadium, Hyderabad"
"Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Chennai Super Kings","Delhi Capitals","Delhi Capitals","MA Chidambaram Stadium, Chennai"
"Deccan Chargers","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Rajiv Gandhi International Stadium, Hyderabad"
"Punjab Kings","Kolkata Knight Riders","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Mumbai Indians","Delhi Capitals","Mumbai Indians","Dr DY Patil Sports Academy, Mumbai"
"Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Royal Challengers Bengaluru","Punjab Kings","Punjab Kings","M Chinnaswamy Stadium, Bengaluru"
"Chennai Super Kings","Deccan Chargers","Deccan Chargers","MA Chidambaram Stadium, Chennai"
"Mumbai Indians","Rajasthan Royals","Mumbai Indians","Dr DY Patil Sports Academy, Mumbai"
"Delhi Capitals","Chennai Super Kings","Chennai Super Kings","Arun Jaitley Stadium, Delhi"
"Kolkata Knight Riders","Royal Challengers Bengaluru","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Rajasthan Royals","Deccan Chargers","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Royal Challengers Bengaluru","Mumbai Indians","Mumbai Indians","M Chinnaswamy Stadium, Bengaluru"
